news_id,sentiment_model,sentiment_label,p_pos,p_neu,p_neg,language
8999b41072fe67deb6fe281f1003c50a,ProsusAI/finbert,pos,0.6317118406295776,0.024121182039380074,0.3441670536994934,en
2667a8ed6f2d4b6cabc916f1109cca7c,ProsusAI/finbert,neu,0.1548011749982834,0.7552290558815002,0.08996978402137756,en
29064591336b20d1e9f13b6951bcafd5,ProsusAI/finbert,pos,0.810878336429596,0.06981970369815826,0.1193019449710846,en
82c53ad4cda82e6d944b42f47b32dc8e,ProsusAI/finbert,pos,0.6912658214569092,0.073457270860672,0.2352769374847412,en
ce34ddeafdf161ad81da2003e96046ad,ProsusAI/finbert,neg,0.05343479663133621,0.0574202686548233,0.8891448974609375,en
df89615b69b590f1603c211d8a95a40e,ProsusAI/finbert,neu,0.17298726737499237,0.813786506652832,0.013226225972175598,en
6de8eaeefefc165528badd7a1cde6161,ProsusAI/finbert,neg,0.14099529385566711,0.03782517462968826,0.8211795687675476,en
c3738df652e6d8367699880eea7b8910,ProsusAI/finbert,neg,0.018145453184843063,0.0494975671172142,0.9323570132255554,en
319c4efd2cc3e64e10ae84766d613331,ProsusAI/finbert,pos,0.8160344958305359,0.1744312196969986,0.009534242562949657,en
81e05d99c8c4d2544593389dbcae82ed,ProsusAI/finbert,neu,0.457980215549469,0.5123120546340942,0.02970777451992035,en
1da361ab1402ac660ddf0328b0e58b34,ProsusAI/finbert,neg,0.060606181621551514,0.23054029047489166,0.708853542804718,en
92dbe7ec81991706ff5b0ba27fb8ca51,ProsusAI/finbert,pos,0.5341189503669739,0.09811890870332718,0.36776217818260193,en
510a643b5911e3e9c3fdfacf0b76ca57,ProsusAI/finbert,neg,0.020683029666543007,0.4441608488559723,0.5351561307907104,en
11517cefd76fee8bc20041f6c0887f5f,ProsusAI/finbert,neg,0.11888880282640457,0.06376715004444122,0.817344069480896,en
a9ace3a4f6a3415e203413b59e28a002,ProsusAI/finbert,neg,0.018527118489146233,0.012029002420604229,0.9694439172744751,en
2a862f3dac773372d712fe27efd948a8,ProsusAI/finbert,neu,0.130855530500412,0.8583004474639893,0.01084404718130827,en
cdabbae820d1d3048418911edb6ee3f8,ProsusAI/finbert,neu,0.044067222625017166,0.9333781003952026,0.022554611787199974,en
90819a8b94a4acc961fd4adb4d94e253,ProsusAI/finbert,neu,0.05338312312960625,0.8529618978500366,0.09365497529506683,en
a5179951fc3704c652da3dbd5db8b8d5,ProsusAI/finbert,pos,0.5395960807800293,0.4000353217124939,0.060368604958057404,en
eb597f3f71ce0e1a2bb6318086cb6fca,ProsusAI/finbert,neg,0.020695379003882408,0.24399331212043762,0.7353113293647766,en
907ab264b1b46798166a86325245768c,ProsusAI/finbert,neu,0.11787047237157822,0.7650278210639954,0.11710172891616821,en
540c1e75f320f01c672315d407a53d00,ProsusAI/finbert,neg,0.025188663974404335,0.04936562851071358,0.9254456758499146,en
dbf0db0ae3b1a635e7b13b4c1768761b,ProsusAI/finbert,pos,0.9511986970901489,0.022717472165822983,0.026083791628479958,en
6002c18ec969371ac7b9f993544ab8d2,ProsusAI/finbert,neu,0.06169387698173523,0.9244215488433838,0.013884596526622772,en
d4021a63d7e088d310f94eacd6656c48,ProsusAI/finbert,neu,0.07258151471614838,0.9099393486976624,0.01747916080057621,en
